bank_txn_ref,posting_date,value_date,amount,currency,debit_credit,narration,bank_branch,source_system,fees_deducted
BK-0301962b73,2024-03-21,2024-03-21,39429.63,KES,CR,MPESA 29543,BBR09,MPESA,64.68
BK-d2dbf4b41d,2024-01-31,2024-01-31,36040.02,KES,CR,CHQ DEP for MBR 26221,BBR15,CHEQUE,182.48
BK-2303991b08,2024-02-10,2024-02-10,45606.86,KES,CR,CHQ DEP for MBR 27317,BBR14,CHEQUE,242.58
BK-4818867f53,2024-02-05,2024-02-05,40977.03,KES,CR,M-PESA PAY 26757,BBR09,MPESA,296.65
BK-b2fbf29054,2024-02-17,2024-02-17,45388.07,KES,CR,MPESA 21653,BBR02,MPESA,235.73
BK-a71fe38c00,2024-03-12,2024-03-12,12567.84,KES,CR,M-PESA PAY 22226,BBR15,MPESA,59.81
BK-010bd6b70b,2024-01-22,2024-01-22,33141.73,KES,CR,MPESA 22912,BBR07,MPESA,241.32
BK-2a042e6aea,2024-02-17,2024-02-17,39642.24,KES,CR,CASH DEP 22406,BBR05,CASH,299.13
BK-2a0ec26f02,2024-01-22,2024-01-22,18092.29,KES,CR,CHQ DEP MBR 26622,BBR12,CHEQUE,107.84
BK-44d6f487e8,2024-03-11,2024-03-11,28636.25,KES,CR,CASH DEP 26127,BBR11,CASH,227.91
BK-7f03ad80bb,2024-03-26,2024-03-26,36082.46,KES,CR,CHQ DEP for MBR 29897,BBR09,CHEQUE,62.8
BK-05300d5e02,2024-02-12,2024-02-12,5060.28,KES,CR,CHQ DEP for MBR 23666,BBR02,CHEQUE,6.93
BK-8c3b214ec2,2024-04-01,2024-04-01,30711.43,KES,CR,CASH DEP 24964,BBR02,CASH,120.04
BK-c2971f2aff,2024-01-31,2024-01-31,48353.65,KES,CR,CASH DEP 24405,BBR02,CASH,111.12
BK-6f05eebd9b,2024-01-07,2024-01-07,45543.95,KES,CR,M-PESA PAY 22652,BBR08,MPESA,110.28
BK-7c1fd0ba17,2024-03-25,2024-03-25,34133.7,KES,CR,CHQ DEP MBR 21694,BBR04,CHEQUE,179.16
BK-973172dc37,2024-01-18,2024-01-18,43677.79,KES,CR,CASH DEP 28880,BBR08,CASH,138.78
BK-917ad20c28,2024-03-25,2024-03-25,47310.1,KES,CR,CASH DEP 21482,BBR13,CASH,331.98
BK-c6224f993e,2024-02-05,2024-02-05,42938.84,KES,CR,CASH DEP 25924,BBR14,CASH,222.34
BK-d50ca1a798,2024-03-02,2024-03-02,24509.43,KES,CR,Cash DEP acc 26878,BBR05,CASH,90.36
BK-914f2a4839,2024-01-05,2024-01-05,32705.13,KES,CR,CASH DEP 20113,BBR12,CASH,219.89
BK-637bf1a774,2024-03-14,2024-03-14,3686.7,KES,CR,Mobile payment MBR 29845,BBR15,MPESA,7.05
BK-8f9b1d50da,2024-01-11,2024-01-11,9585.1,KES,CR,CASH DEP 25835,BBR06,CASH,23.6
BK-66b2685e5d,2024-02-01,2024-02-01,35667.78,KES,CR,MPESA 28042,BBR05,MPESA,241.58
BK-8cb7ab833c,2024-03-10,2024-03-10,27367.43,KES,CR,CHQ dep MBR 28753,BBR11,CHEQUE,34.49
BK-fa12dad899,2024-04-02,2024-04-02,38382.33,KES,CR,Mobile payment MBR 22292,BBR15,MPESA,86.58
BK-fd7255cf11,2024-04-02,2024-04-02,24487.23,KES,CR,CHQ DEP for MBR 27905,BBR07,CHEQUE,182.45
BK-768f55e05c,2024-01-11,2024-01-11,42092.47,KES,CR,CHQ dep MBR 22320,BBR06,CHEQUE,308.33
BK-53b0fc2443,2024-02-25,2024-02-25,19929.06,KES,CR,M-PESA PAY 27324,BBR02,MPESA,69.6
BK-001bfe59a4,2024-03-01,2024-03-01,22699.9,KES,CR,Cash DEP acc 26949,BBR05,CASH,173.52
BK-1b90891c6e,2024-03-09,2024-03-09,17687.71,KES,CR,Cash DEP acc 25243,BBR01,CASH,20.56
BK-8f4606573e,2024-01-14,2024-01-14,47475.88,KES,CR,MPESA 29111,BBR02,MPESA,154.48
BK-c57723154a,2024-02-10,2024-02-10,30690.77,KES,CR,MPESA 26672,BBR03,MPESA,197.84
BK-9564b33514,2024-01-13,2024-01-13,5921.49,KES,CR,M-PESA PAY 21849,BBR05,MPESA,31.36
BK-04c87ecd2a,2024-03-07,2024-03-07,33103.74,KES,CR,CHQ DEP for MBR 21578,BBR12,CHEQUE,119.75
BK-936d981284,2024-03-15,2024-03-15,11193.87,KES,CR,Cash DEP acc 21148,BBR02,CASH,45.56
BK-4be0805246,2024-02-19,2024-02-19,33973.71,KES,CR,M-PESA PAY 24408,BBR04,MPESA,60.03
BK-3393842423,2024-02-27,2024-02-27,31441.67,KES,CR,CHQ dep MBR 25676,BBR02,CHEQUE,156.45
BK-004efd5106,2024-02-11,2024-02-11,29105.74,KES,CR,CHQ dep MBR 25146,BBR14,CHEQUE,230.25
BK-b8f4e07e75,2024-01-01,2024-01-01,12397.24,KES,CR,Mobile payment MBR 20318,BBR09,MPESA,53.7
BK-6ae858e347,2024-03-29,2024-03-29,33482.55,KES,CR,CASH DEP 29587,BBR02,CASH,144.98
BK-cefa88cbd6,2024-01-21,2024-01-21,1431.41,KES,CR,CHQ dep MBR 21800,BBR10,CHEQUE,5.99
BK-77394f4acd,2024-02-29,2024-02-29,23391.72,KES,CR,CASH DEP 28455,BBR13,CASH,103.94
BK-02488a91aa,2024-01-21,2024-01-21,3091.14,KES,CR,CHQ DEP MBR 24619,BBR14,CHEQUE,4.96
BK-ba92f3ac79,2024-02-02,2024-02-02,18231.7,KES,CR,Cash DEP acc 20135,BBR04,CASH,87.34
BK-0909ff7624,2024-03-04,2024-03-04,5248.99,KES,CR,Cash DEP acc 24073,BBR01,CASH,13.88
BK-1a6e05bef6,2024-02-17,2024-02-17,12434.54,KES,CR,Cash DEP acc 25042,BBR11,CASH,44.27
BK-c430f96f0a,2024-01-22,2024-01-22,23316.66,KES,CR,CHQ dep MBR 24101,BBR02,CHEQUE,150.12
BK-57ab768ad8,2024-03-24,2024-03-24,30176.57,KES,CR,CHQ dep MBR 26268,BBR03,CHEQUE,105.71
BK-e44024d2ad,2024-03-09,2024-03-09,5641.24,KES,CR,CHQ DEP MBR 24881,BBR15,CHEQUE,5.83
BK-33fb45642a,2024-02-28,2024-02-28,1604.23,KES,CR,CHQ dep MBR 24553,BBR15,CHEQUE,11.93
BK-1410f98bc6,2024-01-05,2024-01-05,12545.02,KES,CR,Cash DEP acc 24963,BBR02,CASH,67.39
BK-346b3d1f56,2024-01-07,2024-01-07,11154.99,KES,CR,CHQ DEP MBR 24090,BBR11,CHEQUE,47.04
BK-b06efc6b56,2024-03-27,2024-03-27,40961.21,KES,CR,CHQ DEP for MBR 25491,BBR14,CHEQUE,50.75
BK-59ea8fb328,2024-02-15,2024-02-15,14234.12,KES,CR,CHQ DEP MBR 24206,BBR09,CHEQUE,67.75
BK-cd55860849,2024-03-07,2024-03-07,44596.78,KES,CR,MPESA 21790,BBR14,MPESA,289.67
BK-0a76a2ac6a,2024-04-02,2024-04-02,44650.4,KES,CR,M-PESA PAY 27824,BBR08,MPESA,262.14
BK-e9344151d6,2024-03-25,2024-03-25,26986.84,KES,CR,Mobile payment MBR 28011,BBR05,MPESA,150.67
BK-c93c38f4cb,2024-02-09,2024-02-09,38862.97,KES,CR,CHQ DEP MBR 27520,BBR12,CHEQUE,99.42
BK-b47f1506ba,2024-02-26,2024-02-26,5945.79,KES,CR,M-PESA PAY 22185,BBR09,MPESA,9.78
BK-f3747ae3fd,2024-01-06,2024-01-06,14663.28,KES,CR,CHQ dep MBR 23842,BBR06,CHEQUE,71.54
BK-6ce831f84a,2024-03-04,2024-03-04,42063.85,KES,CR,CHQ dep MBR 22664,BBR03,CHEQUE,52.05
BK-84d4a7a6f8,2024-02-18,2024-02-18,33288.8,KES,CR,M-PESA PAY 20526,BBR13,MPESA,184.01
BK-440279c8c6,2024-01-04,2024-01-04,26121.16,KES,CR,Cash DEP acc 21972,BBR15,CASH,29.99
BK-e19178270c,2024-02-29,2024-02-29,42346.46,KES,CR,CASH DEP 20511,BBR06,CASH,49.54
BK-10ee75381d,2024-03-31,2024-03-31,45345.03,KES,CR,CHQ dep MBR 21060,BBR04,CHEQUE,143.33
BK-ce89e57bdf,2024-03-05,2024-03-05,6920.73,KES,CR,CASH DEP 21976,BBR01,CASH,49.8
BK-0988f57a37,2024-01-12,2024-01-12,37007.86,KES,CR,CHQ DEP for MBR 21140,BBR10,CHEQUE,170.11
BK-d07d2e4f52,2024-01-31,2024-01-31,9097.57,KES,CR,CHQ DEP for MBR 27051,BBR13,CHEQUE,69.97
BK-2c9d37d620,2024-02-18,2024-02-18,30673.14,KES,CR,CHQ DEP MBR 20591,BBR11,CHEQUE,102.75
BK-73393afdc7,2024-01-29,2024-01-29,47237.28,KES,CR,CASH DEP 26396,BBR06,CASH,213.2
BK-8263338f61,2024-03-15,2024-03-15,20028.62,KES,CR,CHQ DEP MBR 21635,BBR07,CHEQUE,128.13
BK-be83a72bc8,2024-02-24,2024-02-24,8336.93,KES,CR,Cash DEP acc 27842,BBR07,CASH,61.63
BK-5b0d389579,2024-02-07,2024-02-07,37308.73,KES,CR,CASH DEP 20803,BBR09,CASH,77.29
BK-43e0d0212d,2024-04-01,2024-04-01,2127.8,KES,CR,Cash DEP acc 24098,BBR03,CASH,15.12
BK-3208602c9e,2024-03-07,2024-03-07,35155.47,KES,CR,CHQ DEP MBR 29594,BBR04,CHEQUE,38.19
BK-5e1cd5aaab,2024-03-08,2024-03-08,31450.41,KES,CR,CHQ DEP for MBR 29527,BBR04,CHEQUE,102.19
BK-87a38ba4e5,2024-01-30,2024-01-30,11962.82,KES,CR,CHQ dep MBR 20949,BBR06,CHEQUE,22.83
BK-171306320a,2024-02-19,2024-02-19,26883.43,KES,CR,Mobile payment MBR 21689,BBR05,MPESA,125.12
BK-44dcbb4d54,2024-03-20,2024-03-20,46023.41,KES,CR,CHQ dep MBR 21083,BBR10,CHEQUE,368.2
BK-a4f79c0c97,2024-03-28,2024-03-28,40713.92,KES,CR,CHQ DEP for MBR 21076,BBR05,CHEQUE,67.42
BK-3fc72fc84c,2024-01-27,2024-01-27,30278.59,KES,CR,CASH DEP 28955,BBR07,CASH,89.07
BK-4712873dd4,2024-02-01,2024-02-01,31464.0,KES,CR,Cash DEP acc 21959,BBR01,CASH,248.97
BK-6702f34a01,2024-01-08,2024-01-08,3198.21,KES,CR,CHQ DEP for MBR 27514,BBR03,CHEQUE,22.54
BK-c0a92bb05f,2024-01-15,2024-01-15,42279.38,KES,CR,CHQ DEP for MBR 24634,BBR12,CHEQUE,142.51
BK-564d2ae7c5,2024-01-12,2024-01-12,5413.88,KES,CR,CHQ dep MBR 23816,BBR10,CHEQUE,29.65
BK-df8804def5,2024-02-08,2024-02-08,15406.71,KES,CR,CASH DEP 22161,BBR04,CASH,35.63
BK-49f96aaf88,2024-01-27,2024-01-27,9749.12,KES,CR,Cash DEP acc 27018,BBR15,CASH,64.66
BK-3a91a6a097,2024-02-19,2024-02-19,19751.51,KES,CR,Cash DEP acc 25502,BBR02,CASH,134.85
BK-9357e15d27,2024-01-23,2024-01-23,43756.8,KES,CR,Cash DEP acc 23366,BBR01,CASH,242.01
BK-41a9403099,2024-02-14,2024-02-14,17377.04,KES,CR,MPESA 25187,BBR04,MPESA,98.72
BK-1b6dd96a74,2024-03-16,2024-03-16,41906.05,KES,CR,CHQ DEP MBR 24089,BBR04,CHEQUE,176.95
BK-d6837799dc,2024-01-10,2024-01-10,41127.19,KES,CR,M-PESA PAY 29745,BBR11,MPESA,263.32
BK-9765c26c70,2024-02-27,2024-02-27,25758.04,KES,CR,CASH DEP 22847,BBR10,CASH,177.38
BK-b949a4bd80,2024-01-28,2024-01-28,17286.69,KES,CR,CASH DEP 25232,BBR03,CASH,45.57
BK-234895aa4e,2024-01-17,2024-01-17,1534.06,KES,CR,M-PESA PAY 20293,BBR06,MPESA,8.66
BK-691601d232,2024-03-03,2024-03-03,43494.84,KES,CR,CASH DEP 29102,BBR06,CASH,334.36
BK-99d1ec4fa3,2024-02-29,2024-02-29,10667.08,KES,CR,M-PESA PAY 20493,BBR14,MPESA,42.72
BK-6a332fb3db,2024-02-11,2024-02-11,4940.17,KES,CR,CHQ DEP for MBR 25862,BBR04,CHEQUE,13.17
BK-f71ad7b02f,2024-02-23,2024-02-23,47171.94,KES,CR,Cash DEP acc 23679,BBR01,CASH,171.92
BK-b5e818f62a,2024-03-11,2024-03-11,12094.89,KES,CR,CASH DEP 24280,BBR13,CASH,96.81
BK-d807d6ed33,2024-03-22,2024-03-22,25026.29,KES,CR,CHQ DEP MBR 22742,BBR12,CHEQUE,107.44
BK-7144338556,2024-03-04,2024-03-04,42930.23,KES,CR,Mobile payment MBR 23418,BBR11,MPESA,263.37
BK-7ed7c795e4,2024-03-28,2024-03-28,26809.6,KES,CR,CHQ DEP for MBR 22652,BBR12,CHEQUE,209.05
BK-1cc4ef58ed,2024-04-01,2024-04-01,10477.76,KES,CR,CHQ dep MBR 29027,BBR05,CHEQUE,27.79
BK-a0b8de954e,2024-01-15,2024-01-15,6219.25,KES,CR,M-PESA PAY 23662,BBR11,MPESA,7.4
BK-64ba3c704d,2024-02-19,2024-02-19,12769.32,KES,CR,CHQ DEP for MBR 23288,BBR13,CHEQUE,80.45
BK-59a78cd925,2024-02-15,2024-02-15,43872.71,KES,CR,CASH DEP 25971,BBR15,CASH,151.73
BK-7aa0986e2c,2024-01-14,2024-01-14,17559.22,KES,CR,MPESA 23046,BBR02,MPESA,103.29
BK-b121b61bc9,2024-02-08,2024-02-08,31605.62,KES,CR,CHQ DEP for MBR 22961,BBR12,CHEQUE,105.18
BK-d78b8181e8,2024-03-13,2024-03-13,25842.58,KES,CR,Cash DEP acc 24246,BBR14,CASH,118.84
BK-cd0afeb8f7,2024-03-17,2024-03-17,4874.41,KES,CR,M-PESA PAY 23860,BBR09,MPESA,18.47
BK-5a80707977,2024-02-12,2024-02-12,44307.99,KES,CR,Cash DEP acc 28456,BBR02,CASH,146.91
BK-4da58dd639,2024-01-20,2024-01-20,833.23,KES,CR,Cash DEP acc 25685,BBR11,CASH,5.36
BK-3272159567,2024-02-09,2024-02-09,36191.75,KES,CR,CHQ DEP MBR 26143,BBR11,CHEQUE,107.36
BK-e7191b27df,2024-02-28,2024-02-28,11934.82,KES,CR,CHQ dep MBR 26702,BBR06,CHEQUE,67.11
BK-bffc2baaa2,2024-02-12,2024-02-12,28472.76,KES,CR,Mobile payment MBR 24033,BBR08,MPESA,103.65
BK-6c3af14a54,2024-02-27,2024-02-27,12989.74,KES,CR,M-PESA PAY 28925,BBR11,MPESA,52.78
BK-9591f7e3e4,2024-03-30,2024-03-30,2735.42,KES,CR,Mobile payment MBR 21644,BBR05,MPESA,21.31
BK-3519e3acf1,2024-02-05,2024-02-05,16313.31,KES,CR,CHQ DEP for MBR 28850,BBR03,CHEQUE,36.77
BK-718292c54b,2024-03-19,2024-03-19,1815.21,KES,CR,CASH DEP 28161,BBR08,CASH,8.86
BK-91c1d70b5b,2024-01-29,2024-01-29,42628.51,KES,CR,MPESA 21416,BBR15,MPESA,291.69
BK-2a10af0182,2024-02-01,2024-02-01,10933.23,KES,CR,Mobile payment MBR 28389,BBR11,MPESA,11.56
BK-9bcf66cc12,2024-02-15,2024-02-15,40064.41,KES,CR,Mobile payment MBR 23757,BBR03,MPESA,99.22
BK-4e356390bc,2024-01-08,2024-01-08,3155.84,KES,CR,Mobile payment MBR 24557,BBR09,MPESA,9.84
BK-7495b611c3,2024-03-05,2024-03-05,19360.29,KES,CR,M-PESA PAY 28459,BBR01,MPESA,20.65
BK-e31e01a324,2024-02-24,2024-02-24,20982.25,KES,CR,CASH DEP 28847,BBR04,CASH,61.32
BK-569bc06276,2024-03-12,2024-03-12,38251.27,KES,CR,M-PESA PAY 29191,BBR07,MPESA,115.94
BK-e82a3a3c55,2024-01-19,2024-01-19,25905.81,KES,CR,CASH DEP 27999,BBR08,CASH,175.86
BK-53f320ae8a,2024-01-31,2024-01-31,31993.99,KES,CR,Mobile payment MBR 25027,BBR08,MPESA,144.68
BK-01cb4a2c2a,2024-01-20,2024-01-20,39895.57,KES,CR,CHQ DEP for MBR 29142,BBR05,CHEQUE,175.87
BK-893bceba2a,2024-03-12,2024-03-12,17984.95,KES,CR,CASH DEP 29965,BBR08,CASH,42.94
BK-0bcf389f2f,2024-03-01,2024-03-01,37950.47,KES,CR,Cash DEP acc 29470,BBR01,CASH,82.59
BK-39e8ff8050,2024-01-08,2024-01-08,5633.06,KES,CR,M-PESA PAY 26268,BBR09,MPESA,39.96
BK-9b3b6a95ce,2024-02-07,2024-02-07,43752.23,KES,CR,CHQ dep MBR 28624,BBR14,CHEQUE,132.0
BK-806a9b4c46,2024-02-27,2024-02-27,31084.57,KES,CR,M-PESA PAY 24451,BBR15,MPESA,249.52
BK-c191a8a277,2024-01-07,2024-01-07,33742.22,KES,CR,CHQ DEP MBR 27947,BBR14,CHEQUE,185.45
BK-972121d6c4,2024-02-17,2024-02-17,23101.68,KES,CR,MPESA 27398,BBR06,MPESA,77.77
BK-5dc4d294d0,2024-03-02,2024-03-02,44639.51,KES,CR,Cash DEP acc 22906,BBR05,CASH,295.89
BK-31bb47aba9,2024-03-13,2024-03-13,18656.15,KES,CR,CHQ DEP MBR 24088,BBR08,CHEQUE,116.95
BK-93169fc316,2024-03-18,2024-03-18,26381.33,KES,CR,CHQ dep MBR 29403,BBR06,CHEQUE,133.68
BK-40351a827a,2024-02-06,2024-02-06,37841.09,KES,CR,CASH DEP 28673,BBR08,CASH,196.56
BK-f816ecfd0a,2024-02-19,2024-02-19,12140.07,KES,CR,CHQ dep MBR 23292,BBR15,CHEQUE,78.37
BK-357ae7c4bb,2024-03-12,2024-03-12,35755.85,KES,CR,CASH DEP 26049,BBR04,CASH,276.77
BK-ce7c78dc32,2024-01-12,2024-01-12,33408.68,KES,CR,M-PESA PAY 23065,BBR13,MPESA,34.17
BK-d92abdedcc,2024-01-06,2024-01-06,39362.24,KES,CR,CASH DEP 28914,BBR07,CASH,65.17
BK-d857ca406f,2024-03-16,2024-03-16,3380.67,KES,CR,MPESA 27014,BBR13,MPESA,8.6
BK-13721e91d9,2024-03-12,2024-03-12,9556.77,KES,CR,Mobile payment MBR 23586,BBR04,MPESA,36.07
BK-9786ac3356,2024-03-11,2024-03-11,37117.08,KES,CR,CHQ dep MBR 25735,BBR11,CHEQUE,169.07
BK-bfca2ebd7e,2024-03-12,2024-03-12,34374.13,KES,CR,CHQ dep MBR 28089,BBR13,CHEQUE,214.84
BK-eb1cd4f6bf,2024-03-30,2024-03-30,48799.83,KES,CR,CASH DEP 29823,BBR15,CASH,336.61
BK-1ca68a20e8,2024-03-05,2024-03-05,7023.55,KES,CR,Cash DEP acc 26444,BBR10,CASH,40.38
BK-729f5f8578,2024-01-19,2024-01-19,659.96,KES,CR,CHQ DEP for MBR 29763,BBR07,CHEQUE,4.59
BK-5ef33c36b1,2024-01-24,2024-01-24,36613.12,KES,CR,MPESA 25820,BBR06,MPESA,209.91
BK-0a501b90c1,2024-01-17,2024-01-17,6054.59,KES,CR,CASH DEP 25711,BBR01,CASH,35.85
BK-bbb25bea1f,2024-01-10,2024-01-10,39621.48,KES,CR,CHQ dep MBR 24366,BBR08,CHEQUE,225.13
BK-dffc3fa387,2024-02-27,2024-02-27,43809.41,KES,CR,MPESA 25398,BBR05,MPESA,243.6
BK-841c41b7f2,2024-02-05,2024-02-05,2871.69,KES,CR,CHQ dep MBR 20705,BBR15,CHEQUE,4.48
BK-0f95c23481,2024-03-06,2024-03-06,46707.82,KES,CR,CHQ DEP MBR 27331,BBR10,CHEQUE,287.22
BK-bfb98ee4f3,2024-02-03,2024-02-03,21513.52,KES,CR,Cash DEP acc 24761,BBR13,CASH,38.43
BK-f2249f906a,2024-01-21,2024-01-21,32980.21,KES,CR,MPESA 25585,BBR04,MPESA,139.85
BK-c0f3667d68,2024-03-09,2024-03-09,5220.99,KES,CR,MPESA 21694,BBR14,MPESA,31.23
BK-1b4b3d2269,2024-03-04,2024-03-04,20594.82,KES,CR,CASH DEP 24551,BBR13,CASH,140.44
BK-59549301eb,2024-03-25,2024-03-25,24216.18,KES,CR,CHQ dep MBR 28068,BBR05,CHEQUE,193.66
BK-fded3a83c7,2024-02-03,2024-02-03,7259.95,KES,CR,CASH DEP 21260,BBR05,CASH,46.6
BK-f772a4c6d2,2024-02-08,2024-02-08,48747.83,KES,CR,Mobile payment MBR 21825,BBR06,MPESA,105.56
BK-7b3317c01d,2024-01-06,2024-01-06,34065.38,KES,CR,Mobile payment MBR 25565,BBR06,MPESA,173.56
BK-50b8b85572,2024-02-07,2024-02-07,42198.8,KES,CR,Cash DEP acc 21680,BBR01,CASH,172.87
BK-463bf2f650,2024-03-02,2024-03-02,5764.37,KES,CR,Cash DEP acc 21010,BBR13,CASH,24.89
BK-e12349e537,2024-01-22,2024-01-22,26745.73,KES,CR,CASH DEP 24730,BBR05,CASH,77.84
BK-8d01933a02,2024-03-27,2024-03-27,33517.65,KES,CR,CHQ dep MBR 27933,BBR08,CHEQUE,111.44
BK-6d5c0b305e,2024-01-10,2024-01-10,18058.79,KES,CR,CHQ DEP MBR 24227,BBR02,CHEQUE,52.53
BK-44f13842a7,2024-02-11,2024-02-11,3822.14,KES,CR,Mobile payment MBR 27426,BBR03,MPESA,21.77
BK-917ac3c375,2024-02-04,2024-02-04,24089.5,KES,CR,Mobile payment MBR 29123,BBR10,MPESA,50.66
BK-7f5a53de1a,2024-03-17,2024-03-17,49483.91,KES,CR,CASH DEP 25453,BBR09,CASH,72.88
BK-153a6607c2,2024-01-16,2024-01-16,8931.78,KES,CR,Mobile payment MBR 22834,BBR09,MPESA,50.62
BK-5f5a023445,2024-01-13,2024-01-13,43281.28,KES,CR,MPESA 22361,BBR09,MPESA,329.9
BK-6656a744b2,2024-03-14,2024-03-14,40094.62,KES,CR,M-PESA PAY 24471,BBR12,MPESA,61.18
BK-995b32516d,2024-02-05,2024-02-05,9337.29,KES,CR,CHQ DEP MBR 21461,BBR14,CHEQUE,32.43
BK-afff52dd47,2024-02-25,2024-02-25,20921.38,KES,CR,CASH DEP 25023,BBR01,CASH,66.54
BK-ff850e9d60,2024-01-15,2024-01-15,25232.55,KES,CR,Cash DEP acc 23272,BBR10,CASH,100.17
BK-37ce9a2806,2024-03-05,2024-03-05,37456.35,KES,CR,MPESA 20138,BBR08,MPESA,251.78
BK-804f6628d1,2024-01-12,2024-01-12,21321.35,KES,CR,CASH DEP 20818,BBR01,CASH,104.58
BK-2d9da8b11b,2024-03-07,2024-03-07,49333.35,KES,CR,CHQ dep MBR 28350,BBR09,CHEQUE,154.17
BK-628e6ab565,2024-02-29,2024-02-29,45127.07,KES,CR,Mobile payment MBR 24006,BBR10,MPESA,343.82
BK-34434ed4a3,2024-02-17,2024-02-17,9010.36,KES,CR,M-PESA PAY 28622,BBR01,MPESA,42.33
BK-8597d9b208,2024-02-06,2024-02-06,5420.23,KES,CR,CHQ dep MBR 21023,BBR08,CHEQUE,19.79
BK-9ab7a00bc2,2024-01-14,2024-01-14,3965.81,KES,CR,CHQ dep MBR 20417,BBR10,CHEQUE,8.45
BK-90c752f9e5,2024-02-09,2024-02-09,27933.72,KES,CR,CHQ dep MBR 22285,BBR10,CHEQUE,172.41
BK-4a2ced8319,2024-01-03,2024-01-03,5560.51,KES,CR,CHQ DEP MBR 26066,BBR13,CHEQUE,17.69
BK-7c68ba658d,2024-02-27,2024-02-27,21252.95,KES,CR,CASH DEP 28374,BBR10,CASH,61.46
BK-895188587b,2024-02-08,2024-02-08,22213.65,KES,CR,Mobile payment MBR 21118,BBR05,MPESA,175.65
BK-018b31f95b,2024-01-24,2024-01-24,8338.73,KES,CR,M-PESA PAY 29949,BBR03,MPESA,27.16
BK-27f1c3d4fe,2024-01-17,2024-01-17,49128.97,KES,CR,CASH DEP 25601,BBR02,CASH,177.22
BK-0ddca3f0de,2024-02-12,2024-02-12,7703.23,KES,CR,CASH DEP 27906,BBR14,CASH,29.72
BK-a8a1233823,2024-03-31,2024-03-31,45687.27,KES,CR,CASH DEP 29291,BBR04,CASH,243.4
BK-272a7860b0,2024-03-13,2024-03-13,14114.73,KES,CR,CASH DEP 27650,BBR10,CASH,27.97
BK-8e73c88a7a,2024-01-10,2024-01-10,29332.99,KES,CR,CHQ DEP MBR 29023,BBR12,CHEQUE,195.58
BK-70ce6ddd7a,2024-03-15,2024-03-15,8867.32,KES,CR,CASH DEP 21694,BBR04,CASH,11.02
BK-25c76ce574,2024-01-04,2024-01-04,2266.57,KES,CR,Mobile payment MBR 27850,BBR01,MPESA,3.78
BK-16a3c0328b,2024-03-30,2024-03-30,6434.51,KES,CR,CHQ dep MBR 29005,BBR07,CHEQUE,12.73
BK-c4668b338f,2024-01-29,2024-01-29,6297.42,KES,CR,MPESA 20454,BBR08,MPESA,39.54
BK-aa0de43d36,2024-03-29,2024-03-29,44650.94,KES,CR,CASH DEP 24520,BBR11,CASH,241.0
BK-c0d5842372,2024-02-23,2024-02-23,24650.82,KES,CR,CHQ DEP for MBR 22537,BBR03,CHEQUE,144.72
BK-0f47b0e069,2024-03-23,2024-03-23,45317.31,KES,CR,CHQ dep MBR 20765,BBR09,CHEQUE,169.82
BK-8fb09864c2,2024-01-07,2024-01-07,23450.45,KES,CR,CHQ DEP for MBR 24686,BBR06,CHEQUE,107.45
BK-f6fc504178,2024-04-03,2024-04-03,26550.69,KES,CR,CHQ DEP MBR 25762,BBR01,CHEQUE,103.29
BK-58001ee1c1,2024-03-13,2024-03-13,7430.14,KES,CR,CHQ dep MBR 24916,BBR14,CHEQUE,8.34
BK-a6cb04c5af,2024-03-11,2024-03-11,11848.44,KES,CR,CASH DEP 23106,BBR10,CASH,51.06
BK-9503bb2167,2024-01-14,2024-01-14,2606.5,KES,CR,CHQ dep MBR 23017,BBR04,CHEQUE,9.22
BK-7e7dac0814,2024-03-18,2024-03-18,36352.55,KES,CR,M-PESA PAY 28148,BBR11,MPESA,245.88
BK-174d07acf2,2024-02-16,2024-02-16,32716.81,KES,CR,M-PESA PAY 26944,BBR13,MPESA,155.49
BK-06509e736a,2024-01-14,2024-01-14,2075.24,KES,CR,M-PESA PAY 28349,BBR01,MPESA,11.17
BK-b832b82f2b,2024-01-16,2024-01-16,31013.85,KES,CR,Cash DEP acc 23020,BBR14,CASH,92.16
BK-f11d41e977,2024-01-30,2024-01-30,45904.03,KES,CR,MPESA 22458,BBR06,MPESA,179.52
BK-a27504f19f,2024-01-12,2024-01-12,31260.86,KES,CR,CHQ DEP for MBR 28231,BBR02,CHEQUE,159.09
BK-400b5164b3,2024-01-29,2024-01-29,11242.8,KES,CR,MPESA 28756,BBR01,MPESA,39.78
BK-84a4266a4b,2024-03-31,2024-03-31,39746.72,KES,CR,Mobile payment MBR 29563,BBR04,MPESA,192.64
BK-5d10902391,2024-02-05,2024-02-05,19933.9,KES,CR,CASH DEP 21966,BBR14,CASH,82.21
BK-cb82995a6f,2024-01-30,2024-01-30,22369.08,KES,CR,CHQ DEP for MBR 25333,BBR01,CHEQUE,129.33
BK-ef760020f7,2024-03-06,2024-03-06,28120.86,KES,CR,Mobile payment MBR 27911,BBR03,MPESA,77.75
BK-2e376ea11f,2024-03-14,2024-03-14,18300.99,KES,CR,CHQ DEP for MBR 21351,BBR13,CHEQUE,21.35
BK-c48b1efc8a,2024-03-21,2024-03-21,2321.76,KES,CR,M-PESA PAY 27365,BBR12,MPESA,6.82
BK-c644547702,2024-02-10,2024-02-10,21065.6,KES,CR,MPESA 26936,BBR12,MPESA,34.85
